cid,comment,reply_cid,reply_id,reply_text,"cid,comment","cid,comment,reply_cid,reply_id,reply_text,""cid,comment"",""cid,comment,""""cid,comment"""""""
6976956660846084866,Selly keyboard buat apa kak?,6.976969502760289e+18,6976956660846084866,mempermudah bales chat customer kak,,
6976956660846084866,Selly keyboard buat apa kak?,6.97701495888244e+18,6976956660846084866,bisa otomatis gitu kah kka?? meski kita gak buka WA?,,
6976956660846084866,Selly keyboard buat apa kak?,6.977228343431611e+18,6976956660846084866,"tetep buka sih,,😂 dia kaya grammarly gtu, jdi ngontrol keyboard kita",,
6976956660846084866,Selly keyboard buat apa kak?,6.977229130753017e+18,6976956660846084866,"selly keyboard ada auto text nya, jd kalo jawab pertanyaan cust yg sama sdh ada templatenya",,
6977339775468503809,"tokotalk bingung cara pakenya, pdhl niat buat bljr ig ads😂",6.980705071164098e+18,6977339775468503809,siapa mau ajarin,,
6977339775468503809,"tokotalk bingung cara pakenya, pdhl niat buat bljr ig ads😂",6.980733674006463e+18,6977339775468503809,"Aku masih pelajari nih, insyaa Allah kalau udah paham aku speel yaa ☺️",,
6977339775468503809,"tokotalk bingung cara pakenya, pdhl niat buat bljr ig ads😂",6.980875064959403e+18,6977339775468503809,ahh siap kak makasih🥰,,
6977339775468503809,"tokotalk bingung cara pakenya, pdhl niat buat bljr ig ads😂",6.980705009886004e+18,6977339775468503809,betul sama,,
6989213731402466074,selly keyboard nih paling efektif buat onlineshop,7.340837850004833e+18,6989213731402466074,bisa buat promosiin produk kak?,,
6977967026896044801,Mungkin itu pake mesin air baru kali. Wajar aja kalo keruh dan bau besi,6.977967810228291e+18,6.977967026896045e+18,Udahh 4 bulan masang mesin airnya kaak😅,,
6977967026896044801,Mungkin itu pake mesin air baru kali. Wajar aja kalo keruh dan bau besi,6.97796820019359e+18,6.977967026896045e+18,untuk brp bulan buat 1 fulter,,
.harus di ganti,,,,,,
6977967026896044801,Mungkin itu pake mesin air baru kali. Wajar aja kalo keruh dan bau besi,6.977968537684461e+18,6.977967026896045e+18,Untung lewat fyp,,
6977967026896044801,Mungkin itu pake mesin air baru kali. Wajar aja kalo keruh dan bau besi,6.97797061061868e+18,6.977967026896045e+18,Tergantung kualitas airnya kaakk. Aku kayaknya bakal sebulan sekali dehh😊,,
6977967026896044801,Mungkin itu pake mesin air baru kali. Wajar aja kalo keruh dan bau besi,6.977974574613071e+18,6.977967026896045e+18,cek harga?,,
6977967026896044801,Mungkin itu pake mesin air baru kali. Wajar aja kalo keruh dan bau besi,6.977975965393815e+18,6.977967026896045e+18,tandonnya itu kotor😂,,
7295619084107006726,@aft iki to,7.295619271173244e+18,7.295619084107007e+18,boleh,,
7265270959627322117,kalo kapasny diganti pake kapas buat aquarium bisa ga ya ?,7.265303472516859e+18,7.265270959627322e+18,"Gaak bisa kaakk, dia gak nyaring gituuu",,
6995835146717070107,gua sebagai freelance sakit hati melihat ini. untung nya w sibuk ningkatin value branding nama w.,6.995866192179889e+18,6.99583514671707e+18,"Sbenernya tergantung output dan scope of work di design nya apa sih bro, kalo emang project “gede” pasti harganya juga ga receh",,
6995835146717070107,gua sebagai freelance sakit hati melihat ini. untung nya w sibuk ningkatin value branding nama w.,6.995855707828897e+18,6.99583514671707e+18,dan semenjak saat itu gua dikenal dan jasa dipake. maka nya gua bilang tingkatin value name brand(ningkatin nama kita) terus aja berkarya.,,
6995835146717070107,gua sebagai freelance sakit hati melihat ini. untung nya w sibuk ningkatin value branding nama w.,6.995855961903121e+18,6.99583514671707e+18,"yaa gak terkenal amat sii bang, cuma dari sesuatu yg gua upload ke sosmed, followers gua tau kalo gua bisa ""digunain"".",,
6995835146717070107,gua sebagai freelance sakit hati melihat ini. untung nya w sibuk ningkatin value branding nama w.,6.995859392499353e+18,6.99583514671707e+18,"ya, gua jg paham bang,",,
"tapi ga semua orang bisa promosi,",,,,,,
"memang akhirnya akan bisa, tapi diawal awal pasti berat,",,,,,,
pkoknya buat yg saling menguntungkan,,,,,,
